ngiemboon,en
N ne ńgɔɔn ngie:,"Then I said, “Now listen,   leaders of Jacob,"
"Táʼ, pi lʉʼʉ nò mbòŋo,",You hate good and love evil.
"Oon, epʉ̀a apɛ̌ pfɛ́ mbab nnɛ́ pʉ̀a pɔ́ɔn,",You eat the flesh   of my people
"Púʼu la, pɔ́ ge gÿo gaʼte, é tóŋo Cʉ̀apʉ̀a,","Then they will cry out   to the  Lord,"
"Ammó gie Cʉ̀apʉ̀a ne ńgɔɔn mbwó pantsẅìnkʉ̀ pie é fʉte pʉ̀a pé, ayɔɔn:",This is what the  Lord  says
"Áa mmó gie á ge gÿo,","Therefore, it will be night   for you —"
Eshʉ́ ge gÿo kú pagyájʉʼ lâ patsɔ́ʼngɔ̌ɔn.,Then the seers will be ashamed  
"Táʼ, ńké ńgʉa na mèŋ, mbà n zẅɛʼɛ́ zẅìge Cʉ̀apʉ̀a,","As for me, however, I am filled with power  "
"Shúshu, pi pie pi tyé twómvfò na tsìŋendá Yakwɔ̂b,","Listen to this, leaders of the house of Jacob,  "
"Pi lɔgɔ lépfɛte metse ńkwɛ́ɛ Siyoŋ,",who build Zion with bloodshed  
"Paŋagntsaŋ gwaa ŋag ntsaŋ,","Her leaders issue rulings for a bribe,  "
"Púʼu la, Siyoŋ ge láʼ cʉ́ʼ gwɔ́ pɔ́","Therefore, because of you,"
