ngiemboon,en
" Cʉ̀apʉ̀a tsẅi né mèŋ ngie, n tʉ́ legwé ńdʉa pasáʼa láʼa Ésàlayɛ ńgɔɔn ngie:","“As for you, take up a lament for the princes of Israel,   "
"«Má gẅi laa tàʼ púʼntʉ̀ wemanzwě, á na ngẅɛ̀ mepúʼntʉ̀",and say:
"À la cwoŋo ńtseen tsɔ̌ tàʼ na pɔ́b,","She brought up one of her cubs,"
"Mengwòŋo Mengwòŋ la júʼ páʼ mé kíme yé,","When the nations heard about him,"
"Púʼntʉ̀ gẅie aa nzwě, á gyá yé ngie à zẅíʼte pɔ́ sẅɛ̀ɛ,","When she saw that she waited in vain,"
"Ńkwéʼte yé nùɔ mepúʼntʉ̀,","He prowled among the lions,  "
"Múɔ púʼntʉ̀ ŋwɛ́ lɔg tʉ̀, ńkúu na mepfɔ̌g pɔ́b ńnuŋe wɔ́b,",He devastated their strongholds  
"Epʉ̀a fó na tsɔ́ mengwòŋ mendyɛ̀ʼɛ,",Then the nations from the surrounding provinces
"Pɔ́ lɔg tsɔ́ mengwɔ̀b ńtsege yé, ńnéŋe tsɛ̀ɛ tsɔ̌ nkʉ̀a lɔg ńdeʼe menɔ̀ɔn,",They put a wooden yoke on him   with hooks  # 19:9 2Ch 36:6
"Má gẅi laa páʼ tÿǒ melùʼ,","Your mother was like a vine in your vineyard,  ,# 19:10 Ps 80:8–11"
"Á la gÿo ńtɔ́g mbwó mie é tʉte,","It had strong branches, fit for the scepters of rulers;"
"Táʼ, mé la gÿo ńdɔgɔ gyáŋalóŋ,","But it was uprooted in fury,  "
"Áa na fʉ̀ʼɔɔn, mbà mé ka pye tÿǒ melùʼ ŋwɛ́, á nkùɔmekwaʼá á na tsetsáʼ gie á júbe jubé,","Now it is planted in the wilderness,  "
"Etsɔ́ mmɔ̌g sele ńkẅɛɛ mbùm tÿǒ ŋwɛ́,",Fire has gone out from its main branch  
