ngiemboon,en
Ɔɔ! Ɔ̀ laa péʼe,"If only I could treat you like my brother,  "
"Mbà mèŋ n tsege gú ńnáa ndá má wɔ̀ɔn,","I would lead you, I would take you,"
Á pǒŋ ngie à lɔgɔ pwó yé ye kyɛ̀bɛ ńtóonte twó yɔ́ɔn;,"May his left hand be under my head,"
"Púɔ panzwě Yelúzálèm, e sẅiŋté gẅí,","Young women of Jerusalem, I charge you,"
Aa wɔ̌ manzwě gẅie,"Who is this   coming up from the wilderness,"
Gÿo n gwɔ́ páʼ liŋé gie,"Set me as a seal on your heart,"
Ngwɔ́ memǎa mentse,A huge torrent cannot extinguish love;
"Peg gẅiin tsɔ̌ ncʉ̀ʼnzèm weg wemanzwě,",Our sister is young;
"À lɔɔn ńgwɔ́ gie aa máa nkàŋnkáʼ,","If she is a wall,"
"N gee máa lepàa nkáʼ,",I am   a wall
"Salémo la gẅiin nkáʼa metÿǒ melùʼ,",Solomon owned a vineyard in Baal-hamon.  
"Salémo, mepàg nkáb tàʼ ntsáʼ ée mú,","I have my own vineyard.  ,# 8:12 Sg 1:6"
"Gù múɔ manzwě gẅie ɔ̀ néŋe tsɛ̀ɛ nkáʼ,","You   who dwell in the gardens,"
"«Kÿo mbà mámbàŋa gẅie mèŋ n kwoŋo yé,","Run away with me,   my love,"
