ngiemboon,en
"Á lɔɔn ńgwɔ́ fʉ̀ʼ gie ɔ̀ nyé ńgwɔ́ múɔshùm, ɔ̀ kímte nyìŋ gẅie à la pwóon gú. Kímte yé tá melyɛʼɛ́ láʼ me tepòŋ e láʼ ńgwaa tó, á fʉ̀ʼ gie ɔ̀ ge gÿo gɔɔn ngie: «Legíŋ ńnéŋe ndùm njÿó, à te ne ḿboŋo wɔ́ɔn mɔ́.»",So remember your Creator in the days of your youth:
"Á ge láʼ gwɔ́ fʉʼó, nèm pɔ́ kyɛ̀ʼ sele ésíŋ,","before the sun and the light are darkened,  "
"Á gwɔ́ lyɛʼó ŋwɛ́, papyɛ́b ndá e vɛ,","on the day when the guardians of the house tremble,"
"Áa fʉ̀ʼ gie ncwò ndá gẅie é kẅɛɛ lǎŋ ge gwaa jÿɔ́ʼɔ,",the doors at the street are shut
"Áa fʉ̀ʼ gie nyìŋ líe mánzsè lekwɔʼɔ́, ḿvɛ,","Also, they are afraid of heights and dangers on the road;"
"Nkÿo gẅie mé lɔgɔ tʉ̌ nkáb ńnyɛte ge gÿo záʼa,","before the silver cord is snapped,  "
"Atsetsáʼ piŋe na tsetsáʼ, á jʉʼ gie á la fó wó,","and the dust returns to the earth as it once was,"
"Anzsènò gɔɔn ngie: akɔ̀ɔkɔ́ɔ wɔ́ɔ gwɔ́ pɔ́ fÿɔ́g sẅɛ̀ɛ, akɔ̀ɔkɔ́ɔ wɔ́ɔ lémte ńgʉa pɔ́ páʼ ndyé mmɔ̌g.","“Absolute futility,” says the Teacher. “Everything is futile.”  "
"Anzsènò la te gwɔ́ pɔ́ ndàʼ nzsènò wɔ́, à la gíŋ ńzíʼi mmó gie à zsě, á mbwó pʉ̀a, pɔ́ lɔg ńgẅiin zsénò. À la tsẅíʼte mesaglegʉa, ńtsaʼ tà ńkúu letsiŋé, ésiŋte ḿbiŋ ńná shÿó wembòŋo, á na mesaglegʉa ŋwɛ́. ","In addition to the Teacher being a wise man, he constantly taught the people knowledge; he weighed, explored, and arranged many proverbs.   "
"Nzsènò la kag tʉ̀ légẅiin meshwóŋè mie é póŋo lézẅíʼte, à la kwàʼ ńŋweʼe mmó gie áa nénʉ́. ",The Teacher sought to find delightful sayings and write words of truth accurately. 
"Meshwóŋè ngàŋa zsénò ée páʼ metÿǒ mie ésẅíte mé lɔg ńtsóte menɔ̀ɔn pɔ́ giŋ, epʉ̀a pie é ŋweʼe meŋwàʼne, é gwɔ́ pɔ́ páʼ metÿǒ ntẅiʼ mie mé nÿɔgɔ ssé kwàʼ mboŋó, e Ssé gie yé zɔɔ ndàʼ ngàŋa pyɛ́bɛ zɔ ké ńnáa kɔ̀ɔkɔ́ɔ. ","The sayings of the wise are like cattle prods,   and those from masters of collections are like firmly embedded nails.  # 12:11 Ezr 9:8; Is 22:23 The sayings are given by one Shepherd.  # 12:11 Or by a shepherd"
"Míŋ wɔ̀ɔn wembàŋa, pɔ́ɔn légʉa na mmó gie n ziʼí gú, ńkẅiʼi tsɔ́, leŋweʼe meŋwàʼne, áa fàʼ gie á téen ńdáʼa ḿmaga wɔ́, lepiŋ ńzíʼi mmó tɛʼ, á gÿo nyìŋ kʉ́a kʉ̌a.","But beyond these, my son, be warned: there is no end to the making of many books,   and much study wearies the body.  # 12:12 Ec 1:18 "
"Ammó gie n ge lɔg pú kwɛ́ metwó na menò mie mé gɔ̌ɔn, á gwɔ́ pɔ́ ngie: pɔ́g Ssé, ńkúʼte membʉ̌ mé, áa mmó gie á zɛ́te mbwó mânyìŋ ntsèm. ","When all has been heard, the conclusion of the matter is this: fear God   and keep his commands, because this is for all  # 12:13 Or is the whole duty of humanity.  # 12:13 Ps 97:5; Ac 4:12; Rm 10:12 "
"Á zɔɔn ńgwɔ́ ngie é Ssé ge gÿo tsɔ́ʼte ntsaŋ ye wɛ̌ wɛ̌ nyìŋ wɔ́ɔ, á na kɔ̀ɔkɔ́ɔ wɔ́ɔ gie à la gÿo, tà mbɔɔ gie à la gÿo tsɛ̀ɛ nzěm, á yembòŋo kà yetepòŋ wɔ́ɔ.","For God will bring every act to judgment,   including every hidden thing, whether good or evil."
