ngiemboon,en
"Ésàlayɛ, te kág tɛʼ páʼ metsɔ́ meláʼ.","Israel, do not rejoice jubilantly as the nations do,  "
"Ngesáŋ ntsíŋ gie mé ka pǔʼ,","Threshing floor and wine vat will not sustain them,  "
Epʉ̀a Efalayîm te gÿo gíŋ tsẅé tsɛ̀ɛ láʼa Cʉ̀apʉ̀a wɔ́.,They will not stay in the land of the  Lord.
Pɔ́ té gÿo gíŋ lɔg melùʼ nuŋe pwɔʼ ntsentse mbwó Ssé wɔ́;,They will not pour out
"Pi ge láʼ gÿo lêkɔ́ á lyɛʼɛ́ mbumté,","What will you do on a festival day,  "
"Ńtí nue á ge gÿo gwɔ́ fʉ̀ʼ gie pi gwaʼá láʼa gí gie mé tǎg,","For even if they flee from devastation,"
"Yɔɔn áa fʉ̀ʼ gie Cʉ̀apʉ̀a ge kaga gẅí,",The days of punishment have come;  
"Nyìŋ gẅie aa ntsàʼjʉʼ na twó ye pʉ̀a Efalayîm,",Ephraim’s watchman is with my God.
Pɔ́ pǔ ńkúu tsɛ̀ɛ nò tepòŋ tà ḿbíge,They have deeply corrupted themselves  
"Cʉ̀apʉ̀a gɔɔn ngie: «Á laa tsɔ́ fʉ̀ʼ,",I discovered Israel
"Efalayîm! Legúʼ gù ge lémte gʉa páʼ méshʉ́ŋ la,",Ephraim’s glory will fly away like a bird:  
"Pɔ́ lɔɔn ńkwéʼte gubé yɔ́b,","Even if they raise children,"
Afʉ̀ʼ gie n da gyá Efalayîm,"I have seen Ephraim like Tyre,  "
"Cʉ̀apʉ̀a, ná né pɔ́b,","Give them, Lord  —"
"Mé ge gyá menò tepòŋ mɔ́b ngwòŋ Ngilengaa,","All their evil appears at Gilgal,  "
"Efalayîm kʉ̌a,",Ephraim   is struck down;
E Ssé yɔ̀ɔn ge gÿo gwáʼ pʉ̀a Efalayîm,My God will reject them
