ngiemboon,en
"Pi pʉ̀a Ésàlayɛ, pi júʼu shwóŋè gie Cʉ̀apʉ̀a gɔ̌ɔn ńtíi gẅí, á gẅí metsèm, é ngẅɛ̀ gie n da fó ngwòŋ Egíbtò ńkẅile gẅí!","Listen to this message that the Lord has spoken against you, Israelites, against the entire clan that I brought from the land of Egypt:  "
«Mèŋ n ka gʉa na metsìŋendá ntsèm mie ée ndùmo ssé tsetsáʼ,I have known only you  
Tà pʉ̀a mépʉ́a ée ńteme nzsè ńgiŋe,Can two walk together  
Tà púʼntʉ̀ aa ḿpfo tsɛ̀ɛ mbím,Does a lion roar   in the forest
"Tà à lɔɔn ngwɔ́ méshʉ́ŋ gwe tsɛ̀ɛ lekÿo sie é nuŋe ssé,",Does a bird land in a trap on the ground
"Tà à lɔɔn ńgwɔ́ mé tóŋ ntaŋ tsɛ̀ɛ tÿǒsoŋ,","If a ram’s horn   is blown in a city,"
"Aa yɛ̌ tá, e Ssé te gÿo tsɔ́ mmó,","Indeed, the Lord God does nothing"
"Púʼntʉ̀ gwɔ̌ tà ḿpfo,",A lion has roared;  
Pi gʉa tsɛ̀ɛ menɔʼɔ Ashÿendɔd,Proclaim on the citadels in Ashdod  
"Cʉ̀apʉ̀a ne ńgɔɔn ngie: «Pɔ́ té zsé légÿo mmó gie á tyé ndʉŋndʉŋ wɔ́,",The people are incapable of doing right    —
"Á cʉa púʼu, mèŋ Cʉ̀apʉ̀a Ssé gɔɔn ngie:","Therefore, the Lord God says:"
Anò gie Cʉ̀apʉ̀a gɔ̌ɔn á yɔɔn:,The Lord says:
"«Cʉ̀apʉ̀a Ssé, É Ssé gie e piʼi kɔ̀ɔkɔ́ɔ ne ńgɔɔn ngie:",Listen and testify   against the house of Jacob —
Alyɛ̌ʼ gie n ge gɔɔn,I will punish the altars of Bethel  
"N ge gÿo kem mendá mé fʉ̀ʼʉ mbʉ̀ŋ,",I will demolish the winter house  
