en,ngiemboon
lecÿɔ́ʼ,table
tápèle,table
mbàŋa ffo,tablet
nzse,taboo
mbìmbyé ntse,tadpole
nku,tail
sǎŋ,tail
letoŋ,"tail feather, bird"
ḿbí,take
ńkẅé,take
ńtsẅíʼ,take
ńdɔg,take
kɔ̀,take!
kwɔ̀,take!
ésẅɛ,take clothes off
ḿbíte,take here and there
ńkẅéte,take here and there
ńkémte,take in
ńkʉ́mte,take in
ésẅí,take in
éfím,take off
ńzyɛ́b,take off
ńnyɛ́ʼte,take off
mbìi,taker
nkẅè,taker
ḿbyɛ́te,take without leaving anything
púʼ kwɔb,tale
mesàb,talk
éshwóŋe,talk
éshwóŋe,talk between themselves
ngɔ̀ɔn,talker
ńdáŋte,"talking, quit"
ḿvómte,talk in your sleep
ḿbue,talk nonsense
éfʉate,talk nonsense
ńkwaʼ,talk nonsense
ńgebe,talk nonsense
éfʉa,talk nonsense
ńgʉbe,talk nonsense
ńdíʼ,talk of big things
ńkíŋte,"talk, sweet-"
ńtsemte,talk with someone
memǎ,tall
kèkwɔ̀ʼɔ,tall
máamáa,tall
máa,tall
melÿò,tall
mbíg,tall
kùkwɔ̀ʼɔ,tall
