ngiemboon,en
kʉ̀kÿɛ̀,rooster’s comb
kʉ̀kÿɛ̀, hen’s comb
Akʉ̀kÿɛ̀ mênkɔ̀ʼ ság ńcʉa ye mêngáb.,The rooster's comb is more developed than that of the hen.
kʉ̀kÿɛ̀,larva
Mé gyá kʉ̀kÿɛ̀ mbà mé ge gyá ngwɔ̌ʼ.,"If we see a larva, we will see a termite."
kʉŋ,barrier
"Ɔ̀ lɔɔn ńzẅíŋe mefʉa ɔ̀, mbà Ssé ge jÿɔ́ʼ kʉŋ menò tepòŋ na gù.","If you accept your sins, then God will give you a barrier of protection against bad things."
kʉ̌ŋ nÿɔ́g,eyebrow
kʉŋ nzèm,k. cultural dance
mekʉ̀ŋe,scraps
mekʉ̀ŋe, waste
mekʉ̀ŋe, dung
mekʉ̀ŋe, manure
kʉ̀ŋe,scraps
kʉ̀ŋe, waste
kʉ̀ŋe, dung
kʉ̀ŋe, manure
kʉ̀ŋe ndá,shutter
kʉ́ŋelʉ́ŋlʉ́ŋ,sound of a casserole lid falling onto a cement floor
"Nzìŋe lekʉŋ gwě ssé ndá cÿo, ńgÿo lê kʉ́ŋelʉ́ŋlʉ́ŋ.",The lid fell on a cement floor and made a “kʉ́ŋelʉ́ŋlʉ́ŋ” sound.
tíʼi shÿo,shield
kʉ́ʼʉ ncù,shield
nkwá lʉʼʉ́,riddle
kwá lʉʼʉ́,riddle
kwâa,peals of laughter
À tsẅité wɔ́b tà pɔ́ gẅê lê kwâa.,He amused them until they laughed out loud.
"Apʉ̀a gɔ̌ɔn nò, aláʼ pwɔ́ʼɔ lê kwâa.",The madman spoke and the people started laughing out loud.
kwaanzeennzse,k. hat
ntsèbe,k. cultural dance
kwàkwà,k. cultural dance
kwàlà,prostitute
kwalákwàlà,shutter
kwalákwàlà, brace
kwalákwàlà, strut
kwalákwàlà, shelf
nné zíŋ,k. dance instrument used to galvanize the crowd
kwàlànjà,k. dance instrument used to galvanize the crowd
kwáŋ,bracelet
kwáŋ,bike
kwàŋ,joke
kwàŋ, amusement
Mèŋ n těen ńdɔgɔ ḿmaʼa kwàŋ wɔ́.,I'm not kidding.
kwǎŋ,grated taro
kwáŋ mezwě fùɔ,k. bracelet
kwáŋ mezwě fùɔ,k. cultural dance
kwáŋa shÿó,expression
kwáŋa shÿó, look
kwáŋa shÿó,physique
kwàŋte,thought
kwàŋte, reflection
kwàŋte, thinking
kwàtà,corn wine
kwáʼ,sound of a pebble falling on hard ground
Métóon gwě ssé lê kwáʼ.,A small stone fell to the ground that “kwáʼ”.
kwàʼ,true
kwàʼ,clean
kwàʼ, really
Shwóŋo wɔ́ɔn kwàʼ lezíŋ shú.,Tell me your real name.
"Áa kwàʼ na shwóŋè láʼa yég, mé té gɔɔn pɛ́ʼɛ̀ wɔ́.","In my own language, we don't say it like that."
Yɛ̂ kwàʼ nò nénʉ́ gie ɔ̀ gɔɔn.,What you say is really the truth.
