ngiemboon,en
tsétsɔʼ,excuse me
tsétsɔʼ, pardon me
tsétsɔʼ, sorry
tsétsɔʼ, forgiveness
tsétsɔʼ, please
"Tsétsɔʼ, tóo mé gʉa fʉ̀ʼɔɔn.","Sorry, come on so we can leave now."
tsétsɔ́ʼɔ kwɔb,song thrush
tsétsɛ̌ ,sp. weed
 sẅísẅé,sp. weed
tsétsyɛ̌,sp. weed
tsɛ̀ɛ,interior
tsɛ̀ɛ, inside
tsɛ̀ɛ,in
tsɛ̀ɛ, into
Tsɛ̀ɛ ndá tè mbòŋ wɔ́.,The inside of the house is not good.
Kɔ̀ ńtÿɔ́gɔ tsɛ̀ɛ ndá.,"Take, you put in the house."
tsɛ̀ɛ kÿò ngyaŋa,despite
Mèŋ n gÿo pɔ́ tsɛ̀ɛ kÿò ngyaŋa.,I do it in spite of myself.
tsɛ̀ɛ tekwòŋ nkwoŋ,necessarily
À tsẅǐ le múɔ ngie à gʉa sɔg mekáŋ tsɛ̀ɛ tekwòŋ nkwoŋ.,He asked the child to go and wash the dishes.
tsɛ̀ɛ tsoló,volume
Fʉʼʉ tsɛ̀ɛ tsoló!,Measure the volume!
tsolò,in the interior
tsolò, inside
tsɛ̀ɛ wó,in the interior
tsɛ̀ɛ wó, inside
tsɛ́ɛ zẅìge,asthma
tsɛ̀ɛtsẅɛ́ʼ,midnight
Á té poŋo légiŋe pǐ tsɛ̀ɛtsẅɛ́ʼ wɔ́.,It is not good to walk outside at midnight.
táŋazsǒ ,noon
 tẅɛ̂b ,noon
 tʉ̀zsǒ,noon
tsɛ̀ɛzsǒ,noon
Mé ée těen ńtúŋe mpfó tsɛ̀ɛzsǒ wɔ́.,We don't bury the dead at noon.
tsɛ̂n,chains
tsì,bladder
tsígè nzẅìŋ,arithmetic
tsìge nzẅìŋ,calculator
tsìŋ,sex
tsìŋ kǔ,foot of the bed
tsìŋe,bottom
tsìŋe,sieve
tsìŋe, colander
tsìŋe, strainer
tsìŋe,below
tsìŋe,under
Sɔgɔ pfepfɔ́b tsìŋe káŋ mboŋó.,Wash the dust from the bottom of the plate well.
Kaa ńtÿɔ́gɔ tsìŋe kwɔ̀ʼɔ.,"Door, you put under the chair."
Tÿɔ́gɔ káŋ yɔɔn tsìŋe lʉŋ.,Place this plate under the chair.
tsìŋe lekʉŋ,bottom of a pot
tsìŋe lekyé,draining board
tsìŋe lekyé, draining rack
tsìŋe lekyé, ether filter
tsìŋe ndá,family
tsìŋe nò,merits of the case
tsìŋe ssé,down below
tsìŋe ssé, subsoil
tsìŋe ssé, basement
À tÿɔgɔ́ tétɔ́ʼ tsìŋe ssé.,He put the box underneath.
tsìŋɔɔn,down below
tsìŋɔɔn, over there
Gʉa tsìŋɔɔn ńtúʼ ntse ńdɔg ńtó.,Go downstairs to get some water to bring.
tsíte,swindle
